Date,Open,High,Low,Close,Adj Close,Volume
2000-04-03,11.250000,12.375000,11.250000,12.031250,8.401441,77000
2000-04-04,12.031250,12.031250,11.437500,11.625000,8.117752,33200
2000-04-05,11.562500,11.750000,11.500000,11.750000,8.205042,13600
2000-04-06,11.812500,12.062500,11.812500,12.062500,8.423262,28800
2000-04-07,11.937500,12.062500,11.906250,12.000000,8.379615,46600
2000-04-10,12.031250,12.031250,11.750000,11.781250,8.226859,18600
2000-04-11,11.687500,11.750000,11.562500,11.687500,8.161397,13200
2000-04-12,11.562500,12.031250,11.562500,11.843750,8.270506,44200
2000-04-13,11.750000,11.875000,11.609375,11.718750,8.183222,52400
2000-04-14,11.750000,11.875000,11.312500,11.875000,8.292325,49200
2000-04-17,11.750000,11.750000,11.437500,11.625000,8.117752,135200
2000-04-18,11.562500,11.875000,11.562500,11.843750,8.270506,79800
2000-04-19,11.812500,11.812500,11.500000,11.593750,8.095932,39600
2000-04-20,11.531250,11.562500,11.250000,11.343750,7.921353,97600
2000-04-24,11.281250,11.281250,11.156250,11.156250,7.790426,7400
2000-04-25,11.000000,11.750000,10.968750,11.656250,8.139571,47000
2000-04-26,11.625000,11.750000,11.250000,11.375000,7.943177,105000
2000-04-27,11.343750,11.406250,11.250000,11.406250,7.965004,9000
2000-04-28,11.312500,11.500000,11.312500,11.500000,8.030465,25600
2000-05-01,11.437500,11.500000,11.312500,11.500000,8.030465,34600
2000-05-02,11.250000,11.437500,11.218750,11.406250,7.965004,48400
2000-05-03,11.375000,11.500000,11.312500,11.468750,8.008648,86800
2000-05-04,11.312500,11.437500,11.281250,11.437500,7.986822,15600
2000-05-05,11.375000,11.468750,11.375000,11.468750,8.008648,18600
2000-05-08,11.437500,11.437500,11.125000,11.156250,7.790426,13600
2000-05-09,11.187500,11.250000,11.000000,11.250000,7.855889,22600
2000-05-10,11.156250,11.156250,10.937500,11.000000,7.700140,21200
2000-05-11,11.062500,11.500000,11.031250,11.500000,8.050144,138800
2000-05-12,11.531250,11.812500,11.531250,11.687500,8.181396,33600
2000-05-15,11.562500,12.000000,11.500000,12.000000,8.400147,207600
2000-05-16,12.000000,12.000000,11.750000,12.000000,8.400147,63200
2000-05-17,11.968750,11.968750,11.812500,11.937500,8.356403,27600
2000-05-18,11.812500,11.812500,11.687500,11.687500,8.181396,18800
2000-05-19,11.812500,11.812500,11.500000,11.562500,8.093894,56600
